Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Bistroed,кафе быстрого питания,Быстрое питание; Пиццерии,"Советская улица, 13а",,630520,,,,Новосибирский район,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,4.6,178,89137323839,,nm_mamonova@mail.ru,,,,,https://vk.com/bistroedgroup,https://wa.me/79137323839,,,,https://t.me/+79137323839,,,54.884597,82.778028,https://2gis.com/firm/70000001042947399,branch
4 сезона,ресторан,Рестораны; Банкетные залы,"Санаторий Речкуновский, 5",,633000,Речкуновская Зона Отдыха м-н,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (по предварительному звонку),+07:00,4.8,19,88005550790,89835102730,,,http://отель4сезона.рф?utm_source=2gis_restaurant,,,https://vk.com/4seasons_nsk,https://wa.me/79139199138,https://wa.me/79835102730,,,,,,54.791534,83.099801,https://2gis.com/firm/70000001066658187,branch
888pizza,служба доставки пиццы,Пиццерии; Доставка еды; Быстрое питание,"Нарымская улица, 25",цокольный этаж,630132,Челюскинский ж/м,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.8,387,83833630808,,advertising888@mail.ru,,http://888pizza.ru,,,https://vk.com/nsk888pizza,https://wa.me/79952713326,,,,,,,55.044181,82.904703,https://2gis.com/firm/70000001018811123,branch
Ag,пельменная,Быстрое питание; Доставка еды,"улица Гоголя, 34",1 этаж,630005,Фрунзенский м-н,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,4.4,62,89231291010,,,,,,,,,,,,,,,55.043229,82.933375,https://2gis.com/firm/70000001059465310,branch
Ag,пельменная,Быстрое питание,"Пасечная улица, 1а к6",,630040,,,,Новосибирский район,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,3.9,37,,,,,,,,,,,,,,,,55.122315,82.924992,https://2gis.com/firm/70000001048480074,branch
Aji Japan kitchen bar,ресторан,Рестораны; Суши-бары,"Красный проспект, 104",1 этаж,630105,Кропоткинский ж/м,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+07:00,4.9,376,83833163030,,aji.nsk@mail.ru,,http://ajibar.ru/menu,,,https://vk.com/club225356491,,,,,,,,55.055546,82.914243,https://2gis.com/firm/70000001087523471,branch
Alibars,,Быстрое питание,"проспект Дзержинского, 23а",,630015,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+07:00,3.9,7,89130680354,,,,,,,,,,,,,,,55.054208,82.970894,https://2gis.com/firm/70000001094183537,branch
All week,столовая,Столовые; Кофейни; Доставка еды; Быстрое питание,"улица Тургенева, 155",справа от центральной лестницы,630008,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+07:00,,,83832926659,,,,http://www.2926659.ru,,,,https://wa.me/79139166659,,,,https://t.me/+79139166659,,,55.017929,82.955996,https://2gis.com/firm/70000001100259685,branch
All week,столовая,Столовые,"улица Якушева, 41",1 этаж,630102,Восход ж/м,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+07:00,5.0,7,83832926659,,,,http://www.2926659.ru,,,,https://wa.me/79139166659,,,,https://t.me/+79139166659,,,55.010652,82.942606,https://2gis.com/firm/70000001097251498,branch
All week,столовая,Столовые; Доставка еды,"улица Кирова, 86",цокольный этаж,630102,Восход ж/м,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+07:00,4.5,17,89139166659,,,,http://www.2926659.ru,,,,https://wa.me/79139166659,,,,https://t.me/+79139166659,,,55.014168,82.949521,https://2gis.com/firm/70000001064807812,branch
All week,столовая,Столовые; Быстрое питание; Доставка еды,"улица Петухова, 87",,630119,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+07:00,3.6,19,83832926659,,,,http://www.2926659.ru,,,,https://wa.me/79139166659,,,,https://t.me/+79139166659,,,54.940433,82.934021,https://2gis.com/firm/70000001035314862,branch
All week,столовая,Столовые; Доставка еды,"улица Кирова, 29",2 этаж,630008,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+07:00,3.3,45,83832926659,,,,http://www.2926659.ru,,,,https://wa.me/79139166659,,,,https://t.me/+79139166659,,,55.016603,82.947994,https://2gis.com/firm/70000001025740292,branch
All week,столовая,Столовые; Доставка еды,"Зыряновская улица, 63",Б блок; 1 этаж,630102,Восход ж/м,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+07:00,3.8,80,83832926659,,,,http://www.2926659.ru,,,,https://wa.me/79139166659,,,,https://t.me/+79139166659,,,55.009938,82.942266,https://2gis.com/firm/70000001019055523,branch
Alma,бар,Кафе; Бары,"Первомайская улица, 23",,630080,,Первомайский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 18:00-03:00; Вт: 18:00-03:00; Ср: 18:00-03:00; Чт: 18:00-03:00; Пт: 18:00-06:00; Сб: 18:00-06:00; Вс: 18:00-06:00,+07:00,2.3,18,89513925999,,,,,,,,,,,,,,,54.964245,83.123537,https://2gis.com/firm/70000001031932821,branch
Aloha,,Быстрое питание,"улица Мичурина, 12",1 этаж,630091,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+07:00,2.9,60,89130116132,,,,,,,,https://wa.me/79130116132,,,,,,,55.04202,82.923554,https://2gis.com/firm/70000001066707249,branch
Altcafe coffee food,кофейня,Кафе; Кофейни; Доставка еды; Продажа кофе,"улица Свердлова, 4",1 этаж,633010,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 07:30-22:30; Вт: 07:30-22:30; Ср: 07:30-22:30; Чт: 07:30-22:30; Пт: 07:30-22:30; Сб: 09:00-22:30; Вс: 09:00-22:30,+07:00,4.6,625,89231093727,,,,,,,https://vk.com/altcafe,,,,,,,,54.759821,83.101813,https://2gis.com/firm/70000001022888645,branch
Amina food,точка гриль,Быстрое питание,"Кузнецкая улица, 3Б",,632640,,,,Коченевский район,Новосибирская область,Россия,Вт: 10:30-20:00; Ср: 10:30-20:00; Чт: 10:30-20:00; Пт: 10:30-20:00; Сб: 10:30-20:00; Вс: 10:30-20:00,+07:00,4.9,84,,,,,,,,,https://wa.me/79134699875,,,,,,,55.013,82.207653,https://2gis.com/firm/70000001081885883,branch
Apizza?,пиццерия,Пиццерии; Доставка еды; Быстрое питание,"Татьяны Снежиной, 42",1 этаж,630133,Плющихинский ж/м,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,4.7,85,83832052558,,,,http://apizza.su,,,https://vk.com/apizzansk,,,,,,,,55.019988,83.0201,https://2gis.com/firm/70000001090690503,branch
Apizza?,пиццерия,Пиццерии; Доставка еды; Быстрое питание,"Дмитрия Шмонина, 3",1 этаж,630023,Южно-Чемской м-н,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,4.7,159,83832052558,,,,http://apizza.su,,,https://vk.com/apizzansk,,,,,,,,54.942711,82.959948,https://2gis.com/firm/70000001082604811,branch
Arm Grill,шашлычная,Быстрое питание,"Горский микрорайон, 3 к1",,630032,Горский м-н,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.6,73,89639470708,,,,,,,,https://wa.me/79639470708,,viber://chat/?number=79639470708,,,,,54.99325,82.905548,https://2gis.com/firm/70000001044389181,branch
Art Grill,,Быстрое питание; Алкогольные напитки; Безалкогольные напитки; Мороженое; Доставка еды,"улица Дуси Ковальчук, 5 к1",вход со стороны парковки,630001,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+07:00,4.9,172,89939524945,,suren20073@yandex.ru,,http://artgrill.art,http://t.me/art_grill,,https://vk.com/art__grill,https://wa.me/79939524945,,,,,,,55.048436,82.883936,https://2gis.com/firm/70000001089606934,branch
Art lounge,лаундж-бар,Рестораны; Центры паровых коктейлей; Бары,"Красный проспект, 29/1",4 этаж,630099,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-02:00,+07:00,4.9,622,89231411114,,,,http://artlounge-nsk.online,,,https://vk.com/club229763396,https://wa.me/79231411114,,,,https://t.me/+79231411114,,,55.031868,82.919566,https://2gis.com/firm/70000001081641762,branch
AsianFood,студия суши,Быстрое питание; Суши-бары,"улица Кропоткина, 203",1 этаж,630111,Кропоткинский ж/м,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,4.5,36,,,,,,,,,,,,,,,,55.056019,82.927098,https://2gis.com/firm/70000001046676724,branch
